Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M01_CFR_S1_Epo01.hdf5,0.039,0.0,0.0,0.061829500519376454,0.043647267476393796,0.19171843272835287,0.15571379330007812,0.296,0.465,0.7437874280201796,0.6281351051896408,0.0,0.0,0.0,0.0,0.7611940298507462,1,1
M01_CFR_S1_Epo02.hdf5,0.1125,0.0,0.0,0.08097940931361408,0.06642018553878179,0.12712339675597165,0.052488066993264,0.519,0.836,0.5951153658775501,0.4334408238165043,0.0,0.0,0.0,0.0,0.6109215017064846,1,2
M01_CFR_S1_Epo03.hdf5,0.1635,0.0025,0.0,0.0961610231863667,0.05082020720011311,0.13894422076874036,0.02587751844461116,0.64075,0.916,0.5268971029889422,0.40011630965630496,0.002,0.0,0.0005,0.0,0.38823529411764707,1,3
M01_CFR_S1_Epo04.hdf5,0.2735,0.008,0.0,0.12087637570968555,0.08776006197260171,0.2068036100859486,0.028477805434076263,0.44825,0.923,0.6387449778250159,0.397325275504954,0.008,0.0,0.0,0.0,0.24867724867724866,1,4
M01_CFR_S1_Epo05.hdf5,0.3,0.1115,0.0,0.14171374244377857,0.07072052594137664,0.27494460924667097,0.13447339999029845,0.29325,0.476,0.7458356584732964,0.6212634822474618,0.1115,0.0,0.0,0.0,0.17121588089330025,1,5
M01_CFR_S1_Epo06.hdf5,0.3145,0.11850000000000001,0.0,0.19914829765274147,0.12326619581938117,0.3817846290448067,0.08644524925996173,0.35450000000000004,0.65,0.7015241175914667,0.522045776761016,0.114,0.0,0.0045,0.0,0.05592841163310962,1,6
M01_CFR_S1_Epo07.hdf5,0.2915,0.1375,0.0,0.13630980848866633,0.061186158030681816,0.2054073652935056,0.012469651482817963,0.47775,0.934,0.6201772219085478,0.39297864775542996,0.13,0.0,0.0075,0.0,0.1568627450980392,1,7
M01_CFR_S1_Epo08.hdf5,0.40900000000000003,0.30400000000000005,0.0,0.24547311319916065,0.09487785023723828,0.37075407093921964,0.01939647087018708,0.39150000000000007,0.906,0.6760420504946995,0.4041375454214515,0.09,0.0,0.21400000000000002,0.0,0.04656319290465632,1,8
M01_CFR_S1_Epo09.hdf5,0.457,0.3155,0.096,0.3182560065712545,0.14030625444827563,0.2964902960816865,0.11751753839382836,0.4655,0.532,0.6278211161408496,0.5874289361645234,0.0815,0.0,0.23399999999999999,0.0,0.019438444924406047,1,9
M01_CFR_S1_Epo10.hdf5,0.4175,0.2535,0.002,0.4016825433353623,0.12242602001038824,0.3266277991632185,0.09355554977118781,0.53775,0.601,0.5840609121302787,0.5482630987723047,0.163,0.002,0.0905,0.0,0.008547008547008548,1,10
M01_CFR_S1_Epo11.hdf5,0.305,0.21,0.0,,,4.1020491000382,1e-07,0.6805,1.0,0.5063637471859777,0.36787944117144233,0.1295,0.0,0.0805,0.0,0.0,1,11
