Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M07_RCFR_AC_W2_S1_Epo01.hdf5,0.051555555555555556,0.0,0.0,0.06537124881211473,0.05427379971152502,0.11753045364695318,0.07653803697663941,0.5545,0.615,0.5743593690980282,0.5406408953093166,0.0,0.0,0.0,0.0,0.7478411053540587,1,1
M07_RCFR_AC_W2_S1_Epo02.hdf5,0.16022222222222224,0.007722222222222222,0.0,0.0903092618173647,0.06477913402873896,0.15422178354950267,0.06330154201633614,0.5327500000000001,0.711,0.5869885296354925,0.4911527990036827,0.0029444444444444444,0.0,0.0047777777777777775,0.0,0.5817490494296578,1,2
M07_RCFR_AC_W2_S1_Epo03.hdf5,0.44322222222222224,0.2937777777777778,0.03088888888888889,0.1571189657836454,0.10028509101890049,0.40369887793217824,0.15831106195485403,0.15425,0.504,0.8570577297937229,0.6041093828558647,0.2632777777777778,0.027777777777777776,0.0305,0.0,0.49042709867452133,1,3
M07_RCFR_AC_W2_S1_Epo04.hdf5,0.4115,0.2987222222222222,0.0,0.16034649202776055,0.08375852646623808,0.9542327062110821,0.6448565525652196,0.00125,0.005,0.9987507809245809,0.9950124791926823,0.2618888888888889,0.0,0.036833333333333336,0.0,0.625,1,4
M07_RCFR_AC_W2_S1_Epo05.hdf5,0.39722222222222225,0.30727777777777776,0.0,0.1625864398520101,0.07617464483349183,1.487539017064706,0.8547977698322388,0.00025,0.001,0.999750031247396,0.999000499833375,0.2521666666666667,0.0,0.05511111111111111,0.0,0.5374592833876222,1,5
M07_RCFR_AC_W2_S1_Epo06.hdf5,0.40394444444444444,0.3035,0.006666666666666667,0.1646366084900637,0.07013068761704638,1.810753966201347,1.0601759001910205,0.0,0.0,1.0,1.0,0.24655555555555558,0.0064444444444444445,0.05694444444444445,0.00022222222222222223,0.5225806451612903,1,6
M07_RCFR_AC_W2_S1_Epo07.hdf5,0.3896111111111111,0.2911111111111111,0.009111111111111111,0.15827296219324993,0.06729520391266576,2.479716606443327,1.2344539665611647,0.0,0.0,1.0,1.0,0.24199999999999997,0.008888888888888889,0.04911111111111111,0.00022222222222222223,0.5350553505535055,1,7
M07_RCFR_AC_W2_S1_Epo08.hdf5,0.41506849315068495,0.3072488584474886,0.0036529680365296802,0.16748571553169594,0.07875477320626868,2.661676487670456,1.3367226030034816,0.0,0.0,1.0,1.0,0.2707762557077626,0.0036529680365296802,0.03647260273972602,0.0,0.5435992578849722,1,8
M07_RCFR_AC_W2_S1_Epo09.hdf5,0.4027681660899654,0.29821222606689735,0.000461361014994233,0.16334305338490415,0.07666928110205228,3.011363523266676,1.460356444464994,0.0,0.0,1.0,1.0,0.2668396770472895,0.000461361014994233,0.03137254901960784,0.0,0.5238095238095238,1,9
M07_RCFR_AC_W2_S1_Epo10.hdf5,0.42160722556739233,0.30888142658638257,0.023390458545622973,0.16445818260947,0.08526793509009445,3.5190061680849323,2.6068948123361193,0.0,0.0,1.0,1.0,0.27616952292728114,0.023390458545622973,0.032711903659101434,0.0,0.4883720930232558,1,10
M07_RCFR_AC_W2_S1_Epo11.hdf5,0.38202637057598887,0.2865486930372427,0.0,0.14803531047220087,0.07473898822490066,3.4557393390382893,2.464086066823513,0.0,0.0,1.0,1.0,0.25641915336571824,0.0,0.030129539671524406,0.0,0.4246575342465753,1,11
