Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M04_RCFR_AC_NoCL_W1_S1_Epo01.hdf5,0.03785714285714285,0.0007142857142857143,0.0,0.0562413689599633,0.05167148098826473,0.10386081377338893,0.03403524182567303,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0007142857142857143,0.0,0.0,0.0,0.7630662020905923,1,1
M04_RCFR_AC_NoCL_W1_S1_Epo02.hdf5,0.09607142857142857,0.00035714285714285714,0.0,0.07870072634402572,0.06325013891097518,0.07504025734542767,0.03568479524792962,0.686,0.811,0.5035863913063714,0.4444134305116268,0.00035714285714285714,0.0,0.0,0.0,0.6774193548387096,1,2
M04_RCFR_AC_NoCL_W1_S1_Epo03.hdf5,0.4678571428571428,0.3246428571428571,0.07714285714285714,0.15170276414194128,0.10051901632988391,0.2161731889510425,0.08445561661454101,0.29925,0.684,0.7413740427544523,0.5045945719335512,0.3192857142857143,0.07428571428571429,0.005357142857142857,0.0,0.6774193548387096,1,3
M04_RCFR_AC_NoCL_W1_S1_Epo04.hdf5,0.5657142857142857,0.48749999999999993,0.0,0.2207910055041481,0.10033518814770548,0.8390492178579979,0.6662368647661727,0.0,0.0,1.0,1.0,0.4792857142857143,0.0,0.008214285714285714,0.0,0.6219931271477663,1,4
M04_RCFR_AC_NoCL_W1_S1_Epo05.hdf5,0.46285714285714286,0.3492857142857143,0.08428571428571428,0.1783227606660565,0.09997205854713907,1.4839241734569877,1.0348990078490827,0.0,0.0,1.0,1.0,0.32035714285714284,0.08428571428571428,0.02892857142857143,0.0,0.5128205128205128,1,5
M04_RCFR_AC_NoCL_W1_S1_Epo06.hdf5,0.4264285714285714,0.33499999999999996,0.06428571428571428,0.16913032228788016,0.07911343958476746,1.8697494033964805,1.1785781706490908,0.0,0.0,1.0,1.0,0.285,0.06285714285714286,0.049999999999999996,0.0,0.5324675324675324,1,6
M04_RCFR_AC_NoCL_W1_S1_Epo07.hdf5,0.42785714285714294,0.3335714285714286,0.047142857142857146,0.1695422690854277,0.07691088398998201,2.1994002830152706,1.324662994631437,0.0,0.0,1.0,1.0,0.27964285714285714,0.045714285714285714,0.05392857142857143,0.0014285714285714286,0.4889589905362776,1,7
M04_RCFR_AC_NoCL_W1_S1_Epo08.hdf5,0.42392857142857143,0.3289285714285714,0.017142857142857144,0.16939878766229735,0.07278379639104245,3.125956803469112,1.5568132487144273,0.0,0.0,1.0,1.0,0.2757142857142857,0.017142857142857144,0.053214285714285714,0.0,0.4889589905362776,1,8
M04_RCFR_AC_NoCL_W1_S1_Epo09.hdf5,0.42178571428571426,0.3067857142857143,0.018571428571428572,0.16481786614941812,0.0783165644707572,3.8508071152394523,2.35980085462304,0.0,0.0,1.0,1.0,0.2664285714285714,0.018571428571428572,0.040357142857142855,0.0,0.5374592833876222,1,9
M04_RCFR_AC_NoCL_W1_S1_Epo10.hdf5,0.41928571428571426,0.31142857142857144,0.027142857142857142,0.1701392301930409,0.07952861567978062,3.8915572121235202,2.338040246528466,0.0,0.0,1.0,1.0,0.2710714285714286,0.024285714285714285,0.040357142857142855,0.0,0.5464684014869888,1,10
M04_RCFR_AC_NoCL_W1_S1_Epo11.hdf5,0.43535714285714283,0.32178571428571434,0.022857142857142857,0.16908945674131864,0.0900474706334249,3.8304745027762035,2.5290356837495933,0.0,0.0,1.0,1.0,0.2942857142857143,0.022857142857142857,0.0275,0.0,0.49640287769784175,1,11
M04_RCFR_AC_NoCL_W1_S1_Epo12.hdf5,0.4296428571428571,0.3257142857142857,0.03428571428571429,0.17601398885185213,0.07794411907460723,3.801044788208218,2.2289084275010596,0.0,0.0,1.0,1.0,0.28964285714285715,0.03428571428571429,0.03607142857142857,0.0,0.5210237659963437,1,12
M04_RCFR_AC_NoCL_W1_S1_Epo13.hdf5,0.4325,0.3285714285714286,0.08,0.16432848696288327,0.09819859444296176,3.4933570153641735,2.9329497158399573,0.0,0.0,1.0,1.0,0.30714285714285716,0.07857142857142857,0.02142857142857143,0.0,0.45200698080279234,1,13
M04_RCFR_AC_NoCL_W1_S1_Epo14.hdf5,0.44821428571428573,0.33571428571428574,0.04,0.1800758068791682,0.08649109266534438,3.7177723069390045,2.123543418566828,0.0,0.0,1.0,1.0,0.3075,0.04,0.028214285714285716,0.0,0.49640287769784175,1,14
M04_RCFR_AC_NoCL_W1_S1_Epo15.hdf5,0.45035714285714284,0.34535714285714286,0.06857142857142857,0.17215973226610198,0.10604031994383982,3.2408436266632714,2.42639131840432,0.0,0.0,1.0,1.0,0.32821428571428574,0.06857142857142857,0.017142857142857144,0.0,0.43944636678200694,1,15
M04_RCFR_AC_NoCL_W1_S1_Epo16.hdf5,0.4496428571428571,0.3525,0.06571428571428571,0.1835845495891534,0.08076866151615067,3.5431569644819856,2.151661470940603,0.0,0.0,1.0,1.0,0.3235714285714286,0.06428571428571428,0.02892857142857143,0.0014285714285714286,0.4883720930232558,1,16
M04_RCFR_AC_NoCL_W1_S1_Epo17.hdf5,0.49178571428571427,0.3957142857142857,0.14285714285714285,0.19389276374324485,0.10015119495017562,3.219680272977162,2.0423956920303366,0.0,0.0,1.0,1.0,0.3796428571428571,0.14285714285714285,0.01607142857142857,0.0,0.4369602763385147,1,17
M04_RCFR_AC_NoCL_W1_S1_Epo18.hdf5,0.495,0.3960714285714286,0.1742857142857143,0.1990005481529857,0.09853847357722495,3.0479814501083107,2.0230726670174786,0.0,0.0,1.0,1.0,0.37357142857142855,0.15571428571428572,0.022500000000000003,0.0,0.4004474272930649,1,18
M04_RCFR_AC_NoCL_W1_S1_Epo19.hdf5,0.5164285714285715,0.4253571428571429,0.16285714285714287,0.21994183157407327,0.10783720638542663,3.0646273094235714,2.0766017286898033,0.0,0.0,1.0,1.0,0.4117857142857143,0.14857142857142858,0.013571428571428571,0.0,0.40358744394618834,1,19
M04_RCFR_AC_NoCL_W1_S1_Epo20.hdf5,0.5203571428571429,0.4149999999999999,0.14285714285714285,0.2540926665805469,0.1097891864956689,2.85875232405437,2.0140218896518993,0.0,0.0,1.0,1.0,0.4032142857142857,0.1357142857142857,0.011785714285714285,0.0,0.42596810933940776,1,20
M04_RCFR_AC_NoCL_W1_S1_Epo21.hdf5,0.5867857142857144,0.5146428571428572,0.24857142857142858,0.30063581034776216,0.12966619850644093,2.5296583085806477,1.8361729216707625,0.0,0.0,1.0,1.0,0.5039285714285714,0.24428571428571427,0.010714285714285714,0.0,0.38898163606010017,1,21
M04_RCFR_AC_NoCL_W1_S1_Epo22.hdf5,0.6364285714285713,0.5575,0.2842857142857143,0.32976244708494445,0.14908221354760345,2.4100526956244877,1.6441357562734709,0.0,0.0,1.0,1.0,0.5503571428571428,0.2785714285714286,0.007142857142857143,0.0,0.3312,1,22
M04_RCFR_AC_NoCL_W1_S1_Epo23.hdf5,0.6835714285714285,0.6310714285714285,0.2642857142857143,0.3537887788538977,0.15724115840292216,2.2460076653079963,1.3157994884951696,0.00025,0.001,0.999750031247396,0.999000499833375,0.6264285714285714,0.26,0.004642857142857143,0.0,0.27217125382262997,1,23
M04_RCFR_AC_NoCL_W1_S1_Epo24.hdf5,0.7167857142857144,0.6721428571428572,0.3357142857142857,0.36090509792813064,0.17439143245859426,2.120860085415935,1.1084817890468093,0.0022500000000000003,0.008,0.9977525293526299,0.9920319148370607,0.6678571428571428,0.33285714285714285,0.004285714285714286,0.0,0.24550898203592814,1,24
M04_RCFR_AC_NoCL_W1_S1_Epo25.hdf5,0.749642857142857,0.7153571428571428,0.4657142857142857,0.3773306382501206,0.19989058071269739,2.0560575445703924,1.158700626989761,0.0015,0.005,0.9985011244377109,0.9950124791926823,0.7114285714285715,0.4642857142857143,0.003928571428571429,0.0014285714285714286,0.22895125553914328,1,25
M04_RCFR_AC_NoCL_W1_S1_Epo26.hdf5,0.7771428571428571,0.749642857142857,0.57,0.38913050925196446,0.19972298550840958,1.9410251678295118,0.8528476013552286,0.0115,0.045,0.988565872247913,0.9559974818331,0.7453571428571428,0.57,0.004285714285714286,0.0,0.22173274596182085,1,26
M04_RCFR_AC_NoCL_W1_S1_Epo27.hdf5,0.750357142857143,0.7139285714285715,0.5157142857142857,0.38229509929485,0.17637464931563634,2.09938428987703,1.220761113414323,0.001,0.004,0.999000499833375,0.9960079893439915,0.7064285714285714,0.5142857142857142,0.0075,0.0,0.2344213649851632,1,27
