Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M05_RCFR_AC_NoSIM_W3_S1_Epo01.hdf5,0.0325,0.0,0.0,0.05914686722140533,0.03967375621252985,0.15177098082145166,0.06361526484842632,0.4347500000000001,0.67,0.6474265034735106,0.5117085777865424,0.0,0.0,0.0,0.0,0.6737967914438503,1,1
M05_RCFR_AC_NoSIM_W3_S1_Epo02.hdf5,0.1345,0.0005,0.0,0.09068384288461108,0.04779557140520948,0.20574423207702325,0.004797813960383767,0.5157499999999999,0.975,0.5970526371773122,0.37719235356315695,0.0005,0.0,0.0,0.0,0.526829268292683,1,2
M05_RCFR_AC_NoSIM_W3_S1_Epo03.hdf5,0.4714999999999999,0.311,0.0,0.16087393001956918,0.07015186155091595,0.1761879255656579,0.08990679583601811,0.3915,0.53,0.6760420504946996,0.5886049696783552,0.3105,0.0,0.0005,0.0,0.8168761220825853,1,3
M05_RCFR_AC_NoSIM_W3_S1_Epo04.hdf5,0.2695,0.162,0.0,0.11949424020200866,0.06688243750581242,0.29493714895638845,0.1970447672543617,0.22025,0.517,0.8023181933396105,0.596306787633921,0.162,0.0,0.0,0.0,0.3333333333333333,1,4
M05_RCFR_AC_NoSIM_W3_S1_Epo05.hdf5,0.2875,0.17200000000000001,0.0,0.12727868960895572,0.06879032021614322,0.3139362926093844,0.1141657221119039,0.26325,0.724,0.768549735858015,0.48480913576734325,0.17200000000000001,0.0,0.0,0.0,0.29577464788732394,1,5
M05_RCFR_AC_NoSIM_W3_S1_Epo06.hdf5,0.192,0.0925,0.0,0.10886419435672447,0.06041227081198141,0.38260714968244475,0.16429868649303828,0.223,0.442,0.8001148492945541,0.6427496354555312,0.0925,0.0,0.0,0.0,0.25092707045735474,1,6
M05_RCFR_AC_NoSIM_W3_S1_Epo07.hdf5,0.1315,0.0005,0.0,0.10465260709770294,0.07018631232988715,0.570322422011369,0.3803070199055414,0.08425,0.243,0.9192014270109334,0.7842715137715565,0.0005,0.0,0.0,0.0,0.20047449584816132,1,7
M05_RCFR_AC_NoSIM_W3_S1_Epo08.hdf5,0.165,0.003,0.0,0.100052537873404,0.04598196639489984,0.4066599202416019,0.016549857384673242,0.31175,0.924,0.7321645464866988,0.39692814882588245,0.003,0.0,0.0,0.0,0.265,1,8
M05_RCFR_AC_NoSIM_W3_S1_Epo09.hdf5,0.233,0.1045,0.0,0.12029850489368032,0.047189118511033905,0.4871043825568052,0.12136665380907524,0.29675,0.743,0.7432297965870909,0.4756847186416878,0.0,0.0,0.1045,0.0,0.19763313609467456,1,9
M05_RCFR_AC_NoSIM_W3_S1_Epo10.hdf5,0.228,0.0885,0.0,0.12506938135551868,0.048630992871480906,0.7002141977402045,0.2866108221315657,0.1005,0.237,0.9043851124127704,0.7889912880176098,0.0,0.0,0.0885,0.0,0.13325867861142218,1,10
M05_RCFR_AC_NoSIM_W3_S1_Epo11.hdf5,0.2625,0.192,0.0,0.1582489982019438,0.053589701822798964,0.8834865739962081,0.4849076627647663,0.0815,0.311,0.9217327098538872,0.7327138758693325,0.0,0.0,0.192,0.0,0.107981220657277,1,11
M05_RCFR_AC_NoSIM_W3_S1_Epo12.hdf5,0.27,0.18,0.0,0.18176626539919502,0.05757555593359626,0.9781191365204516,0.446247471455693,0.11575,0.46,0.8906978699329667,0.631283645506926,0.001,0.0,0.179,0.0,0.06787330316742081,1,12
M05_RCFR_AC_NoSIM_W3_S1_Epo13.hdf5,0.40650000000000003,0.3775,0.0,0.2515340177576487,0.060720105070252425,1.065055960886208,0.43636424144941316,0.118,0.47,0.8886960526146174,0.6250022682827008,0.005,0.0,0.3725,0.0,0.051224944320712694,1,13
M05_RCFR_AC_NoSIM_W3_S1_Epo14.hdf5,0.43300000000000005,0.4,0.0,0.28263974858215224,0.06286519294424908,1.3393342821200673,0.8628867406592301,0.09925,0.396,0.9055163006486436,0.6730066959373864,0.005,0.0,0.395,0.0,0.02608695652173913,1,14
M05_RCFR_AC_NoSIM_W3_S1_Epo15.hdf5,0.3955,0.33599999999999997,0.0,0.2557669299441305,0.07460138588046714,1.1183848078949292,0.398748802607582,0.179,0.694,0.8361058993970355,0.499573772053545,0.0045,0.0,0.3315,0.0,0.019438444924406047,1,15
M05_RCFR_AC_NoSIM_W3_S1_Epo16.hdf5,0.42400000000000004,0.3195,0.0,0.2725460520980719,0.09634923103273377,5.088217629279321,0.9478573978174625,0.27625,0.996,0.7586232512394793,0.369353905899632,0.006,0.0,0.3135,0.0,0.017241379310344827,1,16
M05_RCFR_AC_NoSIM_W3_S1_Epo17.hdf5,0.495,0.4045,0.0,0.31183388051834166,0.15413932115614107,1.3893282933531208,1e-07,0.32125,1.0,0.7252419178449813,0.36787944117144233,0.006999999999999999,0.0,0.39749999999999996,0.0,0.015053763440860216,1,17
M05_RCFR_AC_NoSIM_W3_S1_Epo18.hdf5,0.5775000000000001,0.536,0.0,0.3310925240005342,0.17471346224764447,1.6596310229311644,0.0,0.2835,1.0,0.7531431221400645,0.36787944117144233,0.0075,0.0,0.5285,0.0,0.017241379310344827,1,18
M05_RCFR_AC_NoSIM_W3_S1_Epo19.hdf5,0.5635,0.52,0.0,0.32110049439920807,0.16407000707855351,1.685963911633436,0.0,0.2835,1.0,0.7531431221400645,0.36787944117144233,0.0085,0.0,0.5115000000000001,0.0,0.017241379310344827,1,19
M05_RCFR_AC_NoSIM_W3_S1_Epo20.hdf5,0.5555,0.5229999999999999,0.0,0.31895605786470405,0.17254976573663305,5.703891162238973,0.0,0.49875,1.0,0.6072892970868522,0.36787944117144233,0.009999999999999998,0.0,0.5129999999999999,0.0,0.01606425702811245,1,20
M05_RCFR_AC_NoSIM_W3_S1_Epo21.hdf5,0.5345,0.49,0.0,0.31355499742256043,0.17109489054413893,5.6293631059832965,1e-07,0.4985,1.0,0.6074411383904961,0.36787944117144233,0.009500000000000001,0.0,0.4805,0.0,0.015053763440860216,1,21
M05_RCFR_AC_NoSIM_W3_S1_Epo22.hdf5,0.5085,0.4305,0.0,0.30791855413865066,0.17659915164627615,5.7210617827647745,1e-07,0.49875,1.0,0.6072892970868522,0.36787944117144233,0.0115,0.0,0.419,0.0,0.010706638115631691,1,22
M05_RCFR_AC_NoSIM_W3_S1_Epo23.hdf5,0.449,0.386,0.0,0.31048759880635457,0.21144871410291677,9.966262046428351,2.800428858586306,0.49775,0.996,0.6078968901298277,0.369353905899632,0.013,0.0,0.373,0.0,0.008547008547008548,1,23
M05_RCFR_AC_NoSIM_W3_S1_Epo24.hdf5,0.545,0.439,0.0,0.3023189327858775,0.22069871950976483,10.366572293047609,2.9711847594793346,0.49724999999999997,0.995,0.6082009145746701,0.369723444544059,0.0105,0.0,0.4285,0.0,0.015053763440860216,1,24
M05_RCFR_AC_NoSIM_W3_S1_Epo25.hdf5,0.642,0.5914999999999999,0.002,0.35401617584958434,0.22155736602907158,10.819335616419462,2.9812475784933232,0.497,0.995,0.6083529838111763,0.369723444544059,0.0095,0.0,0.5820000000000001,0.0,0.02608695652173913,1,25
M05_RCFR_AC_NoSIM_W3_S1_Epo26.hdf5,0.6685000000000001,0.6074999999999999,0.0,0.34346886157318,0.208172318597547,11.38027308146251,3.1333589859217756,0.49724999999999997,0.995,0.6082009145746701,0.369723444544059,0.009000000000000001,0.0,0.5985,0.0,0.039647577092511016,1,26
