Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M03_RCFR_S1_Epo01.hdf5,0.049,0.0,0.0,0.06516942049741375,0.05486212413347625,0.12778205918539837,0.07241037159640157,0.5275000000000001,0.621,0.5900783230268652,0.5374067620396636,0.0,0.0,0.0,0.0,0.7486033519553073,1,1
M03_RCFR_S1_Epo02.hdf5,0.1525,0.01,0.0,0.08825409090091611,0.0626718675684334,0.16693358097203861,0.0274258210466851,0.559,0.899,0.5717805586124209,0.40697643275294815,0.006500000000000001,0.0,0.0035,0.0,0.556923076923077,1,2
M03_RCFR_S1_Epo03.hdf5,0.45149999999999996,0.2905,0.004,0.16608283227190979,0.09597405066595979,0.42798493444605257,0.19034934228055939,0.136,0.43,0.8728426324887193,0.6505090947233165,0.256,0.004,0.0345,0.0,0.45200698080279234,1,3
M03_RCFR_S1_Epo04.hdf5,0.366,0.27,0.0,0.1485108870335754,0.07493063446594751,1.1138074696193474,0.5985300021123448,0.00525,0.021,0.9947637571644331,0.9792189645694596,0.2335,0.0,0.0365,0.0,0.4647887323943662,1,4
M03_RCFR_S1_Epo05.hdf5,0.3635,0.272,0.0,0.15039067173630274,0.07124159829178243,1.5340098259573116,0.8738705592177589,0.0,0.0,1.0,1.0,0.21950000000000003,0.0,0.0525,0.0,0.5609756097560976,1,5
M03_RCFR_S1_Epo06.hdf5,0.373,0.27149999999999996,0.004,0.1526874033652621,0.06359586803565857,2.284538200681977,1.1157176055026625,0.0,0.0,1.0,1.0,0.21749999999999997,0.004,0.054,0.0,0.5407407407407407,1,6
M03_RCFR_S1_Epo07.hdf5,0.381,0.3025,0.018,0.15679444905840212,0.06413966841338221,2.4112033387217737,1.2519547691196349,0.0,0.0,1.0,1.0,0.2465,0.014,0.055999999999999994,0.004,0.4984126984126984,1,7
M03_RCFR_S1_Epo08.hdf5,0.418,0.3355,0.024,0.16910094931511746,0.06642014830767577,2.6497294411452526,1.6030832466053855,0.0,0.0,1.0,1.0,0.274,0.02,0.0615,0.004,0.475,1,8
M03_RCFR_S1_Epo09.hdf5,0.434,0.3425,0.032,0.17231519565972817,0.06943658070653354,3.12515373693784,1.694050158920896,0.0,0.0,1.0,1.0,0.28,0.028,0.0625,0.004,0.475,1,9
M03_RCFR_S1_Epo10.hdf5,0.44799999999999995,0.349,0.036,0.1733928002918939,0.07239800933353192,3.9515826308783164,2.356547843276737,0.0,0.0,1.0,1.0,0.28800000000000003,0.034,0.061,0.002,0.48427672955974843,1,10
M03_RCFR_S1_Epo11.hdf5,0.468,0.35950000000000004,0.03,0.17918007630817442,0.07239009482476744,8.013620654036014,2.3750177905735,0.2485,0.994,0.7799698608351328,0.37009335291196127,0.30150000000000005,0.03,0.057999999999999996,0.0,0.5176848874598071,1,11
M03_RCFR_S1_Epo12.hdf5,0.4365,0.3375,0.016,0.17490767200782797,0.07010429436988466,4.071483392888651,3.0053760046775753,0.0,0.0,1.0,1.0,0.29300000000000004,0.016,0.0445,0.0,0.5551401869158878,1,12
M03_RCFR_S1_Epo13.hdf5,0.4485,0.351,0.03,0.17758729263646833,0.07166704481548847,4.208708986740059,3.0740203473520147,0.0,0.0,1.0,1.0,0.3085,0.03,0.042499999999999996,0.0,0.5210237659963437,1,13
M03_RCFR_S1_Epo14.hdf5,0.4375,0.33199999999999996,0.02,0.1753500967580323,0.07533102033501637,3.931194995908996,2.852692231540831,0.0,0.0,1.0,1.0,0.294,0.02,0.038,0.0,0.4990990990990991,1,14
M03_RCFR_S1_Epo15.hdf5,0.42700000000000005,0.315,0.07,0.1669747834209118,0.08472091079335223,3.5758431150465926,2.898153769856939,0.0,0.0,1.0,1.0,0.28400000000000003,0.068,0.031,0.002,0.46221441124780316,1,15
M03_RCFR_S1_Epo16.hdf5,0.477,0.38849999999999996,0.058,0.1931797600023022,0.07655751770849628,3.5429409246891153,2.6259206395905292,0.0,0.0,1.0,1.0,0.3335,0.058,0.055,0.0,0.42272727272727273,1,16
