Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M02_RCFR_NoGROM_S1_Epo01.hdf5,0.046,0.0,0.0,0.0642552021748947,0.05015280009152336,0.07024234597532819,0.013475809938581246,0.6717500000000001,0.946,0.5108138708723026,0.388291085605873,0.0,0.0,0.0,0.0,0.6827956989247311,1,1
M02_RCFR_NoGROM_S1_Epo02.hdf5,0.043000000000000003,0.0,0.0,0.06810530057361251,0.057463646532975074,0.16731865292116513,0.08933900972075018,0.406,0.553,0.6663101674248864,0.5752215546291638,0.0,0.0,0.0,0.0,0.49403341288782815,1,2
M02_RCFR_NoGROM_S1_Epo03.hdf5,0.233,0.0005,0.0,0.12401848997183072,0.06808207427266638,0.18163926604907746,0.0814206647143301,0.45775,0.745,0.6327056328451712,0.4747342999399124,0.0005,0.0,0.0,0.0,0.28542094455852157,1,3
M02_RCFR_NoGROM_S1_Epo04.hdf5,0.34650000000000003,0.244,0.0,0.22114189106885423,0.07208943223040734,0.40474290642666894,0.11600062956850547,0.29824999999999996,0.633,0.7421157876078214,0.5309964198721143,0.244,0.0,0.0,0.0,0.11586452762923351,1,4
M02_RCFR_NoGROM_S1_Epo05.hdf5,0.42800000000000005,0.3265,0.0,0.27301800476536064,0.09955282953196906,0.3685880273721583,0.044141358535782264,0.52075,0.912,0.5940748247263264,0.401719980097586,0.3265,0.0,0.0,0.0,0.0774526678141136,1,5
M02_RCFR_NoGROM_S1_Epo06.hdf5,0.5095,0.37,0.0,0.40349067545902695,0.1562301821478962,0.390450476968355,0.23650860455083464,0.29725,0.561,0.7428582745770398,0.5706381402943203,0.12,0.0,0.25,0.0,0.07560137457044673,1,6
M02_RCFR_NoGROM_S1_Epo07.hdf5,0.7295,0.6759999999999999,0.504,0.4996358560370291,0.2326926312015935,0.40574285137141913,0.13335907651594944,0.39275000000000004,0.764,0.675197525869436,0.46579949764982825,0.0,0.0,0.6759999999999999,0.504,0.06530089628681178,1,7
M02_RCFR_NoGROM_S1_Epo08.hdf5,0.7585,0.7,0.478,0.4999353937526475,0.2199272072409615,0.5821245071247301,0.08083502480308495,0.231,0.865,0.7937394660352427,0.4210515526273212,0.0,0.0,0.7,0.478,0.06803594351732992,1,8
M02_RCFR_NoGROM_S1_Epo09.hdf5,0.813,0.7899999999999999,0.596,0.5765462939164252,0.23679181752255793,0.863786062253026,0.1478932316862245,0.194,0.741,0.8236579042685769,0.47663704008297203,0.0,0.0,0.7899999999999999,0.596,0.06530089628681178,1,9
M02_RCFR_NoGROM_S1_Epo10.hdf5,0.86,0.8455,0.748,0.6067658251513888,0.2826427335455911,1.2542693364677349,0.5622302403866705,0.03325,0.13,0.9672967051821952,0.8780954309205613,0.0,0.0,0.8455,0.748,0.06666666666666667,1,10
M02_RCFR_NoGROM_S1_Epo11.hdf5,0.917,0.9145,0.86,0.665628219545156,0.31578182507102465,1.1714145869005297,0.5343879070721028,0.03875,0.128,0.9619911768808677,0.8798533791446438,0.0,0.0,0.9145,0.86,0.09043250327653997,1,11
M02_RCFR_NoGROM_S1_Epo12.hdf5,0.9205,0.9175,0.86,0.6681256212559801,0.30950221089207874,1.3725535355340066,0.35100056837706706,0.07675,0.307,0.9261213550063663,0.7356506009072533,0.0,0.0,0.9175,0.86,0.11586452762923351,1,12
M02_RCFR_NoGROM_S1_Epo13.hdf5,0.9215,0.9165,0.83,0.6589990460140902,0.2668169767629056,1.5141093069313305,0.42340551098098606,0.0515,0.206,0.9498036499621996,0.8138330762829207,0.0,0.0,0.9165,0.83,0.11190053285968028,1,13
M02_RCFR_NoGROM_S1_Epo14.hdf5,0.9235,0.9215,0.81,0.6225928476226082,0.24904516210406297,1.289662088767935,0.5227463921422327,0.02425,0.096,0.9760416688368561,0.9084640160687062,0.0,0.0,0.9215,0.81,0.14025500910746813,1,14
M02_RCFR_NoGROM_S1_Epo15.hdf5,0.8999999999999999,0.897,0.738,0.6387038647025045,0.21441852213164786,1.5116838429040258,0.7912231431589675,0.00275,0.011,0.9972537777862358,0.9890602787753687,0.001,0.0,0.896,0.736,0.11985688729874776,1,15
M02_RCFR_NoGROM_S1_Epo16.hdf5,0.9239999999999999,0.9219999999999999,0.798,0.6161999748677227,0.2331085181263704,1.4252319930181625,0.6157672814030307,0.0125,0.05,0.9875778004938814,0.951229424500714,0.001,0.0,0.921,0.796,0.16573556797020483,1,16
M02_RCFR_NoGROM_S1_Epo17.hdf5,0.9344999999999999,0.9325000000000001,0.838,0.5760838151738011,0.25121051018726587,1.4153382014211888,0.7037780820582898,0.0065,0.026,0.9935210793034477,0.9743350896087494,0.0005,0.0,0.9319999999999999,0.838,0.1811320754716981,1,17
M02_RCFR_NoGROM_S1_Epo18.hdf5,0.9175,0.9115,0.746,0.5536946644109138,0.2211414883432065,1.4926518718872517,0.5875117024297764,0.0135,0.054,0.9865907163177327,0.9474321065017983,0.0005,0.0,0.911,0.744,0.2396039603960396,1,18
M02_RCFR_NoGROM_S1_Epo19.hdf5,0.9095,0.9019999999999999,0.7,0.5167044720863221,0.1926492931321999,1.3905945476054569,0.5019602892623746,0.0255,0.102,0.9748223789657411,0.9030295516688768,0.002,0.0,0.8999999999999999,0.692,0.2919254658385093,1,19
M02_RCFR_NoGROM_S1_Epo20.hdf5,0.921,0.9144999999999999,0.746,0.5124696422139445,0.20997920254440636,1.513116144382345,0.8845752832204276,0.00125,0.005,0.9987507809245809,0.9950124791926823,0.001,0.0,0.9135,0.744,0.28197226502311246,1,20
M02_RCFR_NoGROM_S1_Epo21.hdf5,0.9319999999999999,0.9245000000000001,0.776,0.5044589780042968,0.2153345711344119,1.6852467304681231,1.0544395109553453,0.00025,0.001,0.999750031247396,0.999000499833375,0.0005,0.0,0.9239999999999999,0.776,0.31645569620253167,1,21
M02_RCFR_NoGROM_S1_Epo22.hdf5,0.9344999999999999,0.9319999999999999,0.822,0.5265453800889367,0.25190286090456765,1.6354913480349351,0.7564725111380145,0.00325,0.013,0.9967552755332915,0.9870841350202876,0.0,0.0,0.9319999999999999,0.822,0.32273449920508746,1,22
M02_RCFR_NoGROM_S1_Epo23.hdf5,0.94,0.9359999999999999,0.812,0.5031035919743678,0.24016261232055086,1.7937063597880905,1.1808655046563334,0.0,0.0,1.0,1.0,0.0005,0.0,0.9355,0.81,0.34846029173419774,1,23
M02_RCFR_NoGROM_S1_Epo24.hdf5,0.947,0.945,0.842,0.5150218013220529,0.2513815716486786,1.7978405966472022,1.3984480134462862,0.0,0.0,1.0,1.0,0.0,0.0,0.945,0.842,0.3441033925686591,1,24
M02_RCFR_NoGROM_S1_Epo25.hdf5,0.9515,0.9484999999999999,0.868,0.4760119690171786,0.2603906795175661,1.762828716652701,1.5454573754075038,0.0,0.0,1.0,1.0,0.0005,0.0,0.948,0.868,0.35284552845528455,1,25
M02_RCFR_NoGROM_S1_Epo26.hdf5,0.9455,0.9435,0.842,0.4920810625838479,0.2426108053033162,1.7962702190891708,1.0654133163951265,0.00025,0.001,0.999750031247396,0.999000499833375,0.001,0.0,0.9424999999999999,0.84,0.3441033925686591,1,26
M02_RCFR_NoGROM_S1_Epo27.hdf5,0.9484999999999999,0.946,0.86,0.4676411005118326,0.2599277918416413,1.7740597311776174,1.0637307536193767,0.00025,0.001,0.999750031247396,0.999000499833375,0.002,0.0,0.944,0.858,0.35064935064935066,1,27
M02_RCFR_NoGROM_S1_Epo28.hdf5,0.956,0.9550000000000001,0.894,0.4696418326656988,0.27057167211499356,1.5653402601790802,0.6414418055134959,0.009,0.036,0.9910403787728836,0.9646402934831231,0.0005,0.0,0.9545000000000001,0.894,0.37976782752902155,1,28
M02_RCFR_NoGROM_S1_Epo29.hdf5,0.9434999999999999,0.9420000000000001,0.848,0.45352252682362515,0.24374220695674592,1.6523168763342877,0.9036201937434037,0.00125,0.005,0.9987507809245809,0.9950124791926823,0.0045000000000000005,0.0,0.9375,0.836,0.3684210526315789,1,29
M02_RCFR_NoGROM_S1_Epo30.hdf5,0.9424999999999999,0.9404999999999999,0.85,0.44488257421610455,0.24787194140491223,1.9472313749227474,1.4578505207472485,0.0,0.0,1.0,1.0,0.0035,0.0,0.9369999999999998,0.848,0.36617405582922824,1,30
M02_RCFR_NoGROM_S1_Epo31.hdf5,0.9319999999999999,0.9295,0.828,0.42923276868973814,0.23149459803345865,1.8255175198705986,1.4405911406117335,0.0,0.0,1.0,1.0,0.0025,0.0,0.9269999999999998,0.822,0.37067545304777594,1,31
M02_RCFR_NoGROM_S1_Epo32.hdf5,0.922,0.918,0.802,0.40597857905609236,0.20369952246749443,1.8637917252828853,1.1928689474771588,0.0,0.0,1.0,1.0,0.005000000000000001,0.0,0.9129999999999999,0.794,0.3959731543624161,1,32
M02_RCFR_NoGROM_S1_Epo33.hdf5,0.938,0.9359999999999999,0.85,0.42260194973232557,0.2409960663812739,1.9079918464038435,1.2863553187996082,0.0,0.0,1.0,1.0,0.003,0.0,0.9329999999999999,0.846,0.4197952218430034,1,33
