,Cohen's d,Tumor,Cluster,Gene,AdjP,RankbyES
0,0.495,BRCA,CL5,MIR320A,8.759331157560593e-09,1.0
1,0.425,BRCA,CL5,ZNF487P,1.8426096755783823e-06,2.0
2,0.392,BRCA,CL1,LOC728640,3.694910657707018e-06,3.0
3,0.39,BRCA,CL2,ZNF141,1.580587226081499e-05,4.0
4,0.368,BRCA,CL3,RNF138P1,5.805531022789149e-05,5.0
5,0.507,COLO,CL1,LOC100128640,2.2783554097473903e-05,1.0
6,0.482,COLO,CL5,ZNF487P,4.02155414095894e-05,2.0
7,0.474,COLO,CL2,LOC100506599,4.02155414095894e-05,3.0
8,0.47,COLO,CL1,C9orf93,4.02155414095894e-05,4.0
9,0.467,COLO,CL3,MTHFS,4.959568518872863e-05,5.0
10,0.593,GLIOMA,CL5,ZNF782,2.5038019835690357e-08,1.0
11,0.586,GLIOMA,CL4,ZNF19,2.784912978603131e-07,2.0
12,0.564,GLIOMA,CL1,ZNF572,2.784912978603131e-07,3.0
13,0.554,GLIOMA,CL2,C20orf94,3.170945332464555e-07,4.0
14,0.55,GLIOMA,CL1,ZNF674,4.459864901305271e-07,5.0
15,0.708,KIPAN,CL1,EBF2,1.3870942475384835e-14,1.0
16,0.701,KIPAN,CL4,RNF152,1.3870942475384835e-14,2.0
17,0.698,KIPAN,CL2,ANGPT1,2.854664515376519e-14,3.0
18,0.645,KIPAN,CL1,LRRC10B,2.3179099360293118e-12,4.0
19,0.627,KIPAN,CL5,PABPC4L,7.434230377130075e-12,5.0
