Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M06_RCFR_AC_W1_S1_Epo01.hdf5,0.0475,0.0,0.0,0.07273633383985546,0.04916851996800018,0.16872404607824773,0.02981340030957383,0.6074999999999999,0.872,0.5447109456345129,0.41811448349391933,0.0,0.0,0.0,0.0,0.6791044776119403,1,1
M06_RCFR_AC_W1_S1_Epo02.hdf5,0.0335,0.0,0.0,0.0683979499748228,0.04844514936628754,0.20434506443939648,0.06523160258062294,0.521,0.798,0.5939263245834361,0.45022852130278923,0.0,0.0,0.0,0.0,0.5254237288135594,1,2
M06_RCFR_AC_W1_S1_Epo03.hdf5,0.206,0.1385,0.0,0.11665987760990087,0.07375962012008022,0.2905569761113273,0.16399334131547183,0.31599999999999995,0.506,0.7290594501676239,0.6029023715038421,0.0,0.0,0.1385,0.0,0.3719512195121951,1,3
M06_RCFR_AC_W1_S1_Epo04.hdf5,0.35500000000000004,0.1915,0.0,0.1663937354982807,0.11444903182436048,0.5453440511979785,0.3257618750672419,0.07775,0.168,0.9251956965577224,0.8453538346846587,0.0005,0.0,0.191,0.0,0.2640449438202247,1,4
M06_RCFR_AC_W1_S1_Epo05.hdf5,0.36550000000000005,0.2355,0.0,0.18820594649302394,0.12914140725193748,0.812100831670379,0.5299511963016691,0.016,0.057,0.9841273200552851,0.9445940693665233,0.0,0.0,0.2355,0.0,0.2064343163538874,1,5
M06_RCFR_AC_W1_S1_Epo06.hdf5,0.3065,0.153,0.0,0.17728479966565105,0.14202867374118222,1.238467534643576,0.8717543278670655,0.002,0.004,0.9980019986673331,0.9960079893439915,0.0,0.0,0.153,0.0,0.19680851063829788,1,6
M06_RCFR_AC_W1_S1_Epo07.hdf5,0.26999999999999996,0.122,0.0,0.1572252849582046,0.13458190013089227,1.5547779733599745,0.9660857544331367,0.00425,0.017,0.9957590184693116,0.9831436846349096,0.0,0.0,0.122,0.0,0.22615803814713897,1,7
M06_RCFR_AC_W1_S1_Epo08.hdf5,0.2825,0.112,0.0,0.15814146226027756,0.140975919674672,1.873730516079878,0.9954724709123717,0.005,0.02,0.9950124791926823,0.9801986733067553,0.0,0.0,0.112,0.0,0.2640449438202247,1,8
M06_RCFR_AC_W1_S1_Epo09.hdf5,0.25,0.057999999999999996,0.0,0.15102099443529737,0.12852369596292976,2.124919233982709,0.8009682758318452,0.0265,0.106,0.973848043835535,0.899424648075924,0.0005,0.0,0.057499999999999996,0.0,0.2605042016806723,1,9
M06_RCFR_AC_W1_S1_Epo10.hdf5,0.256,0.0525,0.0,0.14761261919288843,0.13890526009551463,3.5943121100271194,0.845746268142898,0.017,0.068,0.9831436846349096,0.9342604735772135,0.0015,0.0,0.051000000000000004,0.0,0.2857142857142857,1,10
