Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M03_RCFR_S1_Epo01.hdf5,0.0445,0.0,0.0,0.07232624594819381,0.049112913804099,0.16320854919583885,0.02871380796084695,0.62375,0.877,0.5359309236519232,0.4160291288076525,0.0,0.0,0.0,0.0,0.6791044776119403,1,1
M03_RCFR_S1_Epo02.hdf5,0.0335,0.0,0.0,0.06803797153119043,0.05055096761840478,0.18298593504170507,0.014453107631553596,0.60075,0.939,0.5484001816816475,0.39101865857291823,0.0,0.0,0.0,0.0,0.5306122448979592,1,2
M03_RCFR_S1_Epo03.hdf5,0.239,0.16,0.0,0.1256609682866518,0.075063102936172,0.2547273172701728,0.11976556151533961,0.38225000000000003,0.561,0.6823244507682819,0.5706381402943203,0.0,0.0,0.16,0.0,0.3719512195121951,1,3
M03_RCFR_S1_Epo04.hdf5,0.35550000000000004,0.196,0.0,0.16884663471966224,0.09842017527699298,0.42973471397774415,0.16275364759510363,0.18175000000000002,0.466,0.8338097668030521,0.6275072840473407,0.0,0.0,0.196,0.0,0.24653739612188366,1,4
M03_RCFR_S1_Epo05.hdf5,0.4245,0.273,0.0,0.22287848798879348,0.14621888487883006,0.8029020448469306,0.5183083866474208,0.021500000000000002,0.067,0.9787294774691476,0.9351952013367766,0.0,0.0,0.273,0.0,0.19363395225464192,1,5
M03_RCFR_S1_Epo06.hdf5,0.332,0.1545,0.0,0.18668547711448413,0.15096175475917056,1.151456982117278,0.8469140278875038,0.00175,0.004,0.9982515303571615,0.9960079893439915,0.0,0.0,0.1545,0.0,0.18733509234828497,1,6
M03_RCFR_S1_Epo07.hdf5,0.309,0.1355,0.0,0.16963013235504532,0.1369582162420633,1.5631836087007602,0.8435889329249192,0.012,0.048,0.9880717128619305,0.9531337870775047,0.0005,0.0,0.135,0.0,0.22615803814713897,1,7
M03_RCFR_S1_Epo08.hdf5,0.3015,0.1235,0.002,0.16392044309351794,0.14784684211913027,2.0166936389835466,0.7883387458437348,0.02775,0.111,0.9726314942826161,0.894938748929031,0.0015,0.0,0.122,0.002,0.2605042016806723,1,8
M03_RCFR_S1_Epo09.hdf5,0.2535,0.041999999999999996,0.0,0.15184794205078997,0.13277948406045936,2.392110687143812,0.6442176734196083,0.07575,0.303,0.9270479395764423,0.7385990963704826,0.0005,0.0,0.041499999999999995,0.0,0.2640449438202247,1,9
M03_RCFR_S1_Epo10.hdf5,0.2955,0.0975,0.002,0.15637995580530328,0.14326721247594826,2.9572885772554187,0.632083942157946,0.0625,0.25,0.9394130628134758,0.7788007830714049,0.003,0.0,0.0945,0.002,0.29310344827586204,1,10
M03_RCFR_S1_Epo11.hdf5,0.28400000000000003,0.073,0.0,0.15662185299077952,0.1486377383034286,3.0950619647347937,0.6435688230687752,0.076,0.304,0.9268162065593822,0.7378608664505911,0.005,0.0,0.068,0.0,0.28939828080229224,1,11
M03_RCFR_S1_Epo12.hdf5,0.30711422845691383,0.09819639278557114,0.0,0.16040742993216603,0.14630471140139745,3.182020120482461,0.9411640722347874,0.0225,0.09,0.9777512371933363,0.9139311852712282,0.010521042084168337,0.0,0.08767535070140281,0.0,0.3235294117647059,1,12
M03_RCFR_S1_Epo13.hdf5,0.3285,0.11399999999999999,0.002,0.16320543409740643,0.15344164935645271,3.262476071534345,0.9751857960678755,0.01975,0.079,0.9804437536088433,0.9240399244450868,0.006,0.0,0.108,0.002,0.30434782608695654,1,13
