,Cohen's d,Tumor,Cluster,Gene,AdjP,RankbyES
0,0.428,BRCA,CL2,PPP3R1,0.0018691375801462955,1.0
1,0.42,BRCA,CL2,ARID5B,0.0018691375801462955,2.0
2,0.406,BRCA,CL2,RALGAPB,0.0023601954366225973,3.0
3,0.391,BRCA,CL2,EIF3E,0.003304952463343011,4.0
4,0.387,BRCA,CL2,RNF41,0.0036009315446835573,5.0
5,0.647,COLO,CL4,C1orf201,5.016313517335437e-07,1.0
6,0.645,COLO,CL2,ELAVL1,6.542598065512765e-07,2.0
7,0.632,COLO,CL2,TP53BP2,7.43162080018212e-07,3.0
8,0.631,COLO,CL2,HNRNPH3,7.43162080018212e-07,4.0
9,0.619,COLO,CL2,TOPBP1,7.557026618790343e-07,5.0
10,0.631,GLIOMA,CL5,C5orf54,0.0007272512242434971,1.0
11,0.582,GLIOMA,CL2,ELAVL1,0.0034423049947681764,2.0
12,0.568,GLIOMA,CL4,ZNF200,0.0011140770575696535,3.0
13,0.501,GLIOMA,CL1,C7orf60,0.003663163760316854,4.0
14,0.601,KIPAN,CL5,BAALC,1.641644040178821e-07,1.0
15,0.589,KIPAN,CL2,POLR3H,4.648588520814922e-06,2.0
16,0.584,KIPAN,CL2,UBE2A,1.0608990247477061e-05,3.0
17,0.579,KIPAN,CL2,VDAC3,4.273751949182991e-06,4.0
18,0.578,KIPAN,CL1,ALKBH1,6.9602771732850945e-06,5.0
19,0.578,KIPAN,CL2,SEPP1,6.9602771732850945e-06,5.0
