Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M01_CFR_S1_Epo01.hdf5,0.029944444444444444,0.0,0.0,0.059768628697600704,0.0489870118451886,0.19316830472740282,0.09326193597656166,0.32899999999999996,0.71,0.7196430167470754,0.4916441974609651,0.0,0.0,0.0,0.0,0.8136200716845878,1,1
M01_CFR_S1_Epo02.hdf5,0.17577777777777778,0.00016666666666666666,0.0,0.09225452299930725,0.06368722359198666,0.11167814012994809,0.009878261841756554,0.66725,0.945,0.5131177130483918,0.38867957090175304,0.0,0.0,0.00016666666666666666,0.0,0.7328767123287672,1,2
M01_CFR_S1_Epo03.hdf5,0.3800555555555556,0.25555555555555554,0.0,0.13853961383338925,0.08082381363249239,0.23087810705195524,0.01693517693241557,0.34525000000000006,0.913,0.7080433205094748,0.4013184609105419,0.2554444444444445,0.0,0.00011111111111111112,0.0,0.373134328358209,1,3
M01_CFR_S1_Epo04.hdf5,0.4952222222222222,0.363,0.03133333333333333,0.2004927715198847,0.10806362897620021,0.3118163688386077,0.12381487971359499,0.23225,0.485,0.7927479115533586,0.6156971967642851,0.31277777777777777,0.0,0.050222222222222224,0.0,0.1794871794871795,1,4
M01_CFR_S1_Epo05.hdf5,0.5538888888888889,0.44966666666666666,0.05488888888888889,0.2293313478874929,0.12740828701356566,0.3346314133617635,0.2015580980257747,0.1965,0.255,0.8216013312952537,0.774916497961081,0.3516666666666667,0.0,0.098,0.0,0.14092446448703494,1,5
M01_CFR_S1_Epo06.hdf5,0.5224444444444445,0.39611111111111114,0.0,0.19885757291085976,0.11562168833760494,0.22849909785952144,0.116158423413453,0.30425,0.522,0.7376764242902092,0.593332695123052,0.3481666666666667,0.0,0.04794444444444444,0.0,0.22916666666666666,1,6
M01_CFR_S1_Epo07.hdf5,0.5697777777777778,0.4668333333333334,0.07355555555555555,0.2524472408118675,0.1268722335938602,0.3012783144862987,0.15476083094716658,0.2895,0.478,0.7486377929108913,0.620022196981994,0.3508888888888889,0.00022222222222222223,0.11594444444444443,0.00022222222222222223,0.09767441860465116,1,7
M01_CFR_S1_Epo08.hdf5,0.6733333333333333,0.6286111111111111,0.5168888888888888,0.3232455486376708,0.18344622769604943,0.3296054282928197,0.08642035395707776,0.34275,0.682,0.709815643291141,0.5056047709396915,0.367,0.0013333333333333333,0.2616111111111111,0.0,0.060674157303370786,1,8
M01_CFR_S1_Epo09.hdf5,0.6014444444444444,0.5212222222222223,0.3204444444444444,0.3560973199618503,0.19857642287523206,0.15467757462272594,0.0584240551248772,0.584,0.935,0.5576632463197913,0.39258586553151836,0.0025000000000000005,0.00044444444444444447,0.5187222222222222,0.32,0.03056768558951965,1,9
M01_CFR_S1_Epo10.hdf5,0.47394444444444445,0.3264444444444444,0.21511111111111111,0.3925293077171693,0.19779868375276294,0.6033643532964736,0.06282336327635453,0.3855,0.862,0.6801104959286406,0.42231660391334386,0.14211111111111113,0.0044444444444444444,0.18433333333333332,0.0011111111111111111,0.010706638115631691,1,10
