Tumor,Cluster,Cohen's d,AdjP
BRCA,CL1,0.2071412429378531,0.01563758894433454
BRCA,CL2,0.2014,0.017776564645877554
BRCA,CL3,0.20591812865497078,0.015617663488180486
BRCA,CL4,0.20685142857142855,0.015621166364126754
BRCA,CL5,0.20774731182795697,0.01569950764095785
COLO,CL1,0.647820564516129,0.00039288419033933964
COLO,CL2,0.6462792607802875,0.0006048688304028782
COLO,CL3,0.6444432989690722,0.0006040000688492872
COLO,CL4,0.6974093686354379,0.00020431802140833828
COLO,CL5,0.6746415478615072,0.0006376185170364199
GLIOMA,CL1,0.3279568965517241,0.008712037396822685
GLIOMA,CL2,0.33361073825503357,0.009844406108213714
GLIOMA,CL3,0.3340420168067227,0.00911736610495176
GLIOMA,CL4,0.31143518518518515,0.012554363224804145
GLIOMA,CL5,0.3236814814814815,0.0099921235915176
KIPAN,CL1,0.25566417910447764,0.011104998452711038
KIPAN,CL2,0.25673267326732674,0.011355457077754524
KIPAN,CL3,0.2576938775510204,0.010380077590131454
KIPAN,CL4,0.24923333333333333,0.012242428289089736
KIPAN,CL5,0.25118032786885247,0.010929697755475759
