Tumor,Cluster,Cohen's d,AdjP
BRCA,CL1,0.22169950738916247,0.01732822484749802
BRCA,CL2,0.2181527093596058,0.018336472510829854
BRCA,CL3,0.2203692307692307,0.017491221634951714
BRCA,CL4,0.22981327800829868,0.015440944421973938
BRCA,CL5,0.22266990291262134,0.01782266313743247
COLO,CL1,0.34030900243309,0.006676257193597334
COLO,CL2,0.3348117048346055,0.007152829231144089
COLO,CL3,0.33933082706766915,0.0066179127581256865
COLO,CL4,0.3319824046920822,0.006930724671051334
COLO,CL5,0.33314942528735625,0.007168561060050181
GLIOMA,CL1,0.33145597484276723,0.00764352371177099
GLIOMA,CL2,0.3331322033898303,0.006899573752467556
GLIOMA,CL3,0.33543292682926823,0.007134967944086598
GLIOMA,CL4,0.34651671732522793,0.006407199853934861
GLIOMA,CL5,0.332391719745223,0.007449125157710594
KIPAN,CL1,0.37503973509933775,0.003258111091147096
KIPAN,CL2,0.3604944812362026,0.0040436927729411345
KIPAN,CL3,0.38660491071428543,0.003411207870734722
KIPAN,CL4,0.39855133079847904,0.00303455127296082
KIPAN,CL5,0.3838037578288098,0.0030890746598336
