Sign,NumGene_CL,MinSigRate,AvgSigRate
Negative,100,0.22467673274536148,0.4911065783003332
Negative,300,0.24953544174194972,0.49273418962720744
Negative,500,0.26658857985790974,0.49855211508236585
Negative,700,0.26828927368120753,0.49589364821145526
Negative,900,0.27447613818300615,0.4970250563063832
Positive,100,0.18834184644426913,0.3119383519850724
Positive,300,0.1984326562212306,0.3084097980048362
Positive,500,0.199445627755411,0.3121390508638472
Positive,700,0.20495233675305966,0.3190207190882692
Positive,900,0.2065089654194723,0.3213395893751974
