Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M02_RCFR_S1_Epo01.hdf5,0.0448,0.0,0.0,0.063842083354295,0.05380022641285598,0.12778205918539837,0.07241037159640157,0.5275000000000001,0.621,0.5900783230268652,0.5374067620396636,0.0,0.0,0.0,0.0,0.7486033519553073,1,1
M02_RCFR_S1_Epo02.hdf5,0.15510000000000002,0.009099999999999999,0.0,0.08928164277214162,0.06354796525086161,0.16693358097203861,0.0274258210466851,0.559,0.899,0.5717805586124209,0.40697643275294815,0.0047,0.0,0.0044,0.0,0.556923076923077,1,2
M02_RCFR_S1_Epo03.hdf5,0.4404,0.29560000000000003,0.0408,0.16427710776212365,0.09718496560134395,0.42989558117444593,0.19799192919413294,0.1315,0.412,0.8767792751377967,0.6623242760521223,0.2641,0.0352,0.0315,0.0,0.45200698080279234,1,3
M02_RCFR_S1_Epo04.hdf5,0.37960000000000005,0.2771,0.0,0.15235413772677664,0.07957859908900927,1.114605869054687,0.5985300021123448,0.00525,0.021,0.9947637571644331,0.9792189645694596,0.23450000000000001,0.0,0.0426,0.0,0.4647887323943662,1,4
M02_RCFR_S1_Epo05.hdf5,0.38259999999999994,0.28159999999999996,0.0004,0.15318870409648527,0.07280359869806018,1.5344876567262467,0.8757818822934986,0.0,0.0,1.0,1.0,0.2272,0.0004,0.054400000000000004,0.0,0.5609756097560976,1,5
M02_RCFR_S1_Epo06.hdf5,0.3832,0.282,0.0068,0.15494326842865366,0.06572308863758092,2.284538200681977,1.1157176055026625,0.0,0.0,1.0,1.0,0.2247,0.0068,0.057300000000000004,0.0,0.5407407407407407,1,6
M02_RCFR_S1_Epo07.hdf5,0.3895,0.2835,0.0096,0.15600501247582763,0.067438229289892,2.4112033387217737,1.2519547691196349,0.0,0.0,1.0,1.0,0.22760000000000002,0.0096,0.0559,0.0,0.4984126984126984,1,7
M02_RCFR_S1_Epo08.hdf5,0.4204,0.3285,0.0072,0.16834706173948766,0.06597985244632282,2.649033936245642,1.6003012270069443,0.0,0.0,1.0,1.0,0.26289999999999997,0.0072,0.06559999999999999,0.0,0.475,1,8
M02_RCFR_S1_Epo09.hdf5,0.4331,0.3322,0.0208,0.17113275584320398,0.06973066590634779,3.12515373693784,1.694050158920896,0.0,0.0,1.0,1.0,0.2689,0.0204,0.0633,0.0004,0.475,1,9
M02_RCFR_S1_Epo10.hdf5,0.45049999999999996,0.34609999999999996,0.0436,0.17394121830389636,0.07621564595456495,3.9493424643546926,2.356547843276737,0.0,0.0,1.0,1.0,0.2809,0.0432,0.06520000000000001,0.0004,0.48427672955974843,1,10
M02_RCFR_S1_Epo11.hdf5,0.4565,0.35419999999999996,0.0308,0.17634929020649806,0.07428830175337037,8.013620654036014,2.3750177905735,0.2485,0.994,0.7799698608351328,0.37009335291196127,0.2931,0.0308,0.061099999999999995,0.0,0.5176848874598071,1,11
M02_RCFR_S1_Epo12.hdf5,0.43610000000000004,0.33159999999999995,0.0264,0.17197523122249767,0.07312959061235927,4.063592997338968,3.0053760046775753,0.0,0.0,1.0,1.0,0.285,0.0264,0.0466,0.0,0.5551401869158878,1,12
