Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M04_RCFR_ACNOCL_W0_S1_Epo01.hdf5,0.037500000000000006,0.0025,0.0,0.05578755378210962,0.0492535663115424,0.10386076292967591,0.03403525224484786,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0025,0.0,0.0,0.0,0.7630662020905923,0,1
M04_RCFR_ACNOCL_W0_S2_Epo01.hdf5,0.05499999999999999,0.0075,0.0,0.05942313309600223,0.05626366655431391,0.10386076292967591,0.03403525224484786,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0025,0.0,0.005,0.0,0.7630662020905923,0,1
M04_RCFR_ACNOCL_W0_S3_Epo01.hdf5,0.025,0.0,0.0,0.0538577674341084,0.048748706000818036,0.10386076292967591,0.03403525224484786,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0,0.0,0.0,0.0,0.7630662020905923,0,1
M04_RCFR_ACNOCL_W0_S4_Epo01.hdf5,0.0225,0.0,0.0,0.0574285960326247,0.05252263548224876,0.10386076292967591,0.03403525224484786,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0,0.0,0.0,0.0,0.7630662020905923,0,1
M04_RCFR_ACNOCL_W0_S5_Epo01.hdf5,0.02,0.0025,0.0,0.05596846590156853,0.04812089083359633,0.10386076292967591,0.03403525224484786,0.6012500000000001,0.822,0.5481260501294057,0.4395516714733476,0.0,0.0,0.0025,0.0,0.7630662020905923,0,1
M04_RCFR_ACNOCL_W0_S1_Epo02.hdf5,0.1025,0.0,0.0,0.07937699168379114,0.06607483170587634,0.07504030361265981,0.03568477743608058,0.686,0.811,0.5035863913063714,0.4444134305116268,0.0,0.0,0.0,0.0,0.6774193548387096,0,2
M04_RCFR_ACNOCL_W0_S2_Epo02.hdf5,0.1275,0.0025,0.0,0.08232916418131839,0.06795370611146476,0.07504030361265981,0.03568477743608058,0.686,0.811,0.5035863913063714,0.4444134305116268,0.0,0.0,0.0025,0.0,0.6774193548387096,0,2
M04_RCFR_ACNOCL_W0_S3_Epo02.hdf5,0.10250000000000001,0.0025,0.0,0.08019741489712691,0.05298548402691286,0.07504030361265981,0.03568477743608058,0.686,0.811,0.5035863913063714,0.4444134305116268,0.0025,0.0,0.0,0.0,0.6774193548387096,0,2
M04_RCFR_ACNOCL_W0_S4_Epo02.hdf5,0.0775,0.0025,0.0,0.07855984852483068,0.06556027419487602,0.07504030361265981,0.03568477743608058,0.686,0.811,0.5035863913063714,0.4444134305116268,0.0025,0.0,0.0,0.0,0.6774193548387096,0,2
M04_RCFR_ACNOCL_W0_S5_Epo02.hdf5,0.10750000000000001,0.005,0.0,0.07739466726212287,0.05767838391764799,0.07504030361265981,0.03568477743608058,0.686,0.811,0.5035863913063714,0.4444134305116268,0.0025,0.0,0.0025,0.0,0.6774193548387096,0,2
M04_RCFR_ACNOCL_W0_S1_Epo03.hdf5,0.5,0.3325,0.03,0.15509214739982408,0.10734972402263576,0.21617339526420018,0.08445568128583081,0.29925,0.684,0.7413740427544523,0.5045945719335512,0.3275,0.03,0.005,0.0,0.6774193548387096,0,3
M04_RCFR_ACNOCL_W0_S2_Epo03.hdf5,0.4675,0.295,0.0,0.15154690647372723,0.10627693001045566,0.2143354376575794,0.08445568128583081,0.30275,0.684,0.7387837692277205,0.5045945719335512,0.29,0.0,0.005,0.0,0.6808080808080809,0,3
M04_RCFR_ACNOCL_W0_S3_Epo03.hdf5,0.47000000000000003,0.3575,0.11,0.15154789106734204,0.10346109711146792,0.21617339526420018,0.08445568128583081,0.29925,0.684,0.7413740427544523,0.5045945719335512,0.3425,0.11,0.015000000000000001,0.0,0.6774193548387096,0,3
M04_RCFR_ACNOCL_W0_S4_Epo03.hdf5,0.47500000000000003,0.3375,0.03,0.15640625765265184,0.10193418885950145,0.21617339526420018,0.08445568128583081,0.29925,0.684,0.7413740427544523,0.5045945719335512,0.33,0.03,0.0075,0.0,0.6774193548387096,0,3
M04_RCFR_ACNOCL_W0_S5_Epo03.hdf5,0.4475,0.29500000000000004,0.03,0.14909619083285736,0.10482453647802753,0.2143354376575794,0.08445568128583081,0.30275,0.684,0.7387837692277205,0.5045945719335512,0.29250000000000004,0.03,0.0025,0.0,0.6808080808080809,0,3
M04_RCFR_ACNOCL_W0_S1_Epo04.hdf5,0.555,0.4675,0.0,0.22009178453620418,0.10271579232708289,0.8377942262005038,0.666236000371434,0.0,0.0,1.0,1.0,0.4525,0.0,0.015000000000000001,0.0,0.6164383561643836,0,4
