Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M04_RCFR_ACNOCOMX_W10_S1_Epo01.hdf5,0.042499999999999996,0.0,0.0,0.06426231121179982,0.056017791014464566,0.09042451606504213,0.062094096446061675,0.6285,0.717,0.5333912881738789,0.4882147053050323,0.0,0.0,0.0,0.0,0.7508650519031141,10,1
M04_RCFR_ACNOCOMX_W10_S2_Epo01.hdf5,0.042499999999999996,0.0,0.0,0.06426231121179982,0.056017791014464566,0.09042451606504213,0.062094096446061675,0.6285,0.717,0.5333912881738789,0.4882147053050323,0.0,0.0,0.0,0.0,0.7508650519031141,10,1
M04_RCFR_ACNOCOMX_W10_S3_Epo01.hdf5,0.042499999999999996,0.0,0.0,0.06426231121179982,0.056017791014464566,0.09042451606504213,0.062094096446061675,0.6285,0.717,0.5333912881738789,0.4882147053050323,0.0,0.0,0.0,0.0,0.7508650519031141,10,1
M04_RCFR_ACNOCOMX_W10_S4_Epo01.hdf5,0.042499999999999996,0.0,0.0,0.06426231121179982,0.056017791014464566,0.09042451606504213,0.062094096446061675,0.6285,0.717,0.5333912881738789,0.4882147053050323,0.0,0.0,0.0,0.0,0.7508650519031141,10,1
M04_RCFR_ACNOCOMX_W10_S5_Epo01.hdf5,0.042499999999999996,0.0,0.0,0.06426231121179982,0.056017791014464566,0.09042451606504213,0.062094096446061675,0.6285,0.717,0.5333912881738789,0.4882147053050323,0.0,0.0,0.0,0.0,0.7508650519031141,10,1
M04_RCFR_ACNOCOMX_W10_S1_Epo02.hdf5,0.1585,0.002,0.0,0.0893145161792993,0.05931067351633205,0.11718957550820674,0.01334902294525371,0.5745,0.948,0.5629862915911923,0.38751527949936976,0.001,0.0,0.001,0.0,0.6428571428571429,10,2
M04_RCFR_ACNOCOMX_W10_S2_Epo02.hdf5,0.1585,0.002,0.0,0.0893145161792993,0.05931067351633205,0.11718957550820674,0.01334902294525371,0.5745,0.948,0.5629862915911923,0.38751527949936976,0.001,0.0,0.001,0.0,0.6428571428571429,10,2
M04_RCFR_ACNOCOMX_W10_S3_Epo02.hdf5,0.16,0.002,0.0,0.08950058349717513,0.05949281664496297,0.11718957550820674,0.01334902294525371,0.5745,0.948,0.5629862915911923,0.38751527949936976,0.001,0.0,0.001,0.0,0.6428571428571429,10,2
M04_RCFR_ACNOCOMX_W10_S4_Epo02.hdf5,0.159,0.002,0.0,0.08938077244304518,0.059276873954030335,0.11718957550820674,0.01334902294525371,0.5745,0.948,0.5629862915911923,0.38751527949936976,0.001,0.0,0.001,0.0,0.6428571428571429,10,2
M04_RCFR_ACNOCOMX_W10_S5_Epo02.hdf5,0.16,0.002,0.0,0.08950058349717513,0.05949281664496297,0.11718957550820674,0.01334902294525371,0.5745,0.948,0.5629862915911923,0.38751527949936976,0.001,0.0,0.001,0.0,0.6428571428571429,10,2
