Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M04_RCFR_ACnosim_W0_S1_Epo01.hdf5,0.0295,0.0,0.0,0.05881863651447706,0.04901717455133233,0.05536129805125109,0.020447166441522512,0.7542500000000001,0.919,0.47036325491512504,0.39891775945155566,0.0,0.0,0.0,0.0,0.656084656084656,0,1
M04_RCFR_ACnosim_W0_S2_Epo01.hdf5,0.0295,0.0,0.0,0.05881863651447706,0.04901717455133233,0.05536129805125109,0.020447166441522512,0.7542500000000001,0.919,0.47036325491512504,0.39891775945155566,0.0,0.0,0.0,0.0,0.656084656084656,0,1
M04_RCFR_ACnosim_W0_S3_Epo01.hdf5,0.0295,0.0,0.0,0.05881863651447706,0.04901717455133233,0.05536129805125109,0.020447166441522512,0.7542500000000001,0.919,0.47036325491512504,0.39891775945155566,0.0,0.0,0.0,0.0,0.656084656084656,0,1
M04_RCFR_ACnosim_W0_S4_Epo01.hdf5,0.0295,0.0,0.0,0.05881863651447706,0.04901717455133233,0.05536129805125109,0.020447166441522512,0.7542500000000001,0.919,0.47036325491512504,0.39891775945155566,0.0,0.0,0.0,0.0,0.656084656084656,0,1
M04_RCFR_ACnosim_W0_S5_Epo01.hdf5,0.0295,0.0,0.0,0.05881863651447706,0.04901717455133233,0.05536129805125109,0.020447166441522512,0.7542500000000001,0.919,0.47036325491512504,0.39891775945155566,0.0,0.0,0.0,0.0,0.656084656084656,0,1
M04_RCFR_ACnosim_W0_S1_Epo02.hdf5,0.167,0.001,0.0,0.0989381790859238,0.07316469053815566,0.08251558149220867,0.020081644724066195,0.6797500000000001,0.891,0.5067436624467814,0.410245302259044,0.001,0.0,0.0,0.0,0.5877862595419847,0,2
M04_RCFR_ACnosim_W0_S2_Epo02.hdf5,0.167,0.001,0.0,0.0989381790859238,0.07316469053815566,0.08251558149220867,0.020081644724066195,0.6797500000000001,0.891,0.5067436624467814,0.410245302259044,0.001,0.0,0.0,0.0,0.5877862595419847,0,2
M04_RCFR_ACnosim_W0_S3_Epo02.hdf5,0.167,0.001,0.0,0.0989381790859238,0.07316469053815566,0.08251558149220867,0.020081644724066195,0.6797500000000001,0.891,0.5067436624467814,0.410245302259044,0.001,0.0,0.0,0.0,0.5877862595419847,0,2
M04_RCFR_ACnosim_W0_S4_Epo02.hdf5,0.167,0.001,0.0,0.0989381790859238,0.07316469053815566,0.08251558149220867,0.020081644724066195,0.6797500000000001,0.891,0.5067436624467814,0.410245302259044,0.001,0.0,0.0,0.0,0.5877862595419847,0,2
M04_RCFR_ACnosim_W0_S5_Epo02.hdf5,0.167,0.001,0.0,0.0989381790859238,0.07316469053815566,0.08251558149220867,0.020081644724066195,0.6797500000000001,0.891,0.5067436624467814,0.410245302259044,0.001,0.0,0.0,0.0,0.5877862595419847,0,2
M04_RCFR_ACnosim_W0_S1_Epo03.hdf5,0.4435,0.297,0.0,0.16792639049375124,0.07630926960732433,0.26071591820896256,0.08089522126591181,0.2595,0.593,0.7714372079939819,0.5526667948604818,0.2965,0.0,0.0005,0.0,0.4395448079658606,0,3
M04_RCFR_ACnosim_W0_S2_Epo03.hdf5,0.4465,0.296,0.0,0.16814433792109332,0.0782077194528868,0.260777117269511,0.08089522126591181,0.25925,0.593,0.7716300914054022,0.5526667948604818,0.296,0.0,0.0,0.0,0.4415954415954416,0,3
M04_RCFR_ACnosim_W0_S3_Epo03.hdf5,0.44300000000000006,0.296,0.0,0.16765281164539722,0.07624161435010235,0.26071591820896256,0.08089522126591181,0.2595,0.593,0.7714372079939819,0.5526667948604818,0.296,0.0,0.0,0.0,0.4395448079658606,0,3
M04_RCFR_ACnosim_W0_S4_Epo03.hdf5,0.4465,0.296,0.0,0.16814433792109332,0.0782077194528868,0.260777117269511,0.08089522126591181,0.25925,0.593,0.7716300914054022,0.5526667948604818,0.296,0.0,0.0,0.0,0.4415954415954416,0,3
M04_RCFR_ACnosim_W0_S5_Epo03.hdf5,0.44349999999999995,0.297,0.0,0.16774812991884708,0.07652045482040265,0.26071591820896256,0.08089522126591181,0.2595,0.593,0.7714372079939819,0.5526667948604818,0.2965,0.0,0.0005,0.0,0.4395448079658606,0,3
M04_RCFR_ACnosim_W0_S1_Epo04.hdf5,0.511,0.32649999999999996,0.006,0.1636286458106951,0.13036696118266713,0.2526399203882792,0.062065721235562706,0.3115,0.799,0.7323476105053693,0.44977851782072775,0.2605,0.0,0.066,0.0,0.3638344226579521,0,4
