Model,AvgtPRate,AvgtAdjPRate,MintAdjPRate,AvgABSGeCohD,MinABSGeCohD,AvgABSSurvCoef,MinABSSurvCoef,AvgSurvpVal,MaxSurvpVal,NegExpAvgSurvpVal,NegExpMinSurvpVal,AvgNegSigRate,MinNegSigRate,AvgPosSigRate,MinPosSigRate,IndCentRatio,GroupM,EpNum
M02_RCFR_NoRiskRank_S1_Epo01.hdf5,0.049,0.0,0.0,0.06516942049741375,0.05486212413347625,0.12778205918539837,0.07241037159640157,0.5275000000000001,0.621,0.5900783230268652,0.5374067620396636,0.0,0.0,0.0,0.0,0.7486033519553073,1,1
M02_RCFR_NoRiskRank_S1_Epo02.hdf5,0.144,0.0045,0.0,0.08811925647340701,0.06122830824721922,0.16721399942718768,0.0274258210466851,0.54925,0.899,0.5773826850459806,0.40697643275294815,0.0035,0.0,0.001,0.0,0.5551401869158878,1,2
M02_RCFR_NoRiskRank_S1_Epo03.hdf5,0.499,0.35700000000000004,0.118,0.17472583501734942,0.10849281882753255,0.41519741359901574,0.23503734027430903,0.11149999999999999,0.282,0.8944913914032678,0.754273684533089,0.3185,0.102,0.0385,0.0,0.4990990990990991,1,3
M02_RCFR_NoRiskRank_S1_Epo04.hdf5,0.40750000000000003,0.30300000000000005,0.0,0.15928104404172133,0.07685274022225491,1.0572262154115246,0.6848851924354438,0.00075,0.003,0.9992502811797007,0.997004495503373,0.2575,0.0,0.0455,0.0,0.603082851637765,1,4
M02_RCFR_NoRiskRank_S1_Epo05.hdf5,0.396,0.3135,0.0,0.1581454395446619,0.07338716633794137,1.5187829559011812,0.8937603417129856,0.00025,0.001,0.999750031247396,0.999000499833375,0.24250000000000002,0.0,0.07100000000000001,0.0,0.5435992578849722,1,5
M02_RCFR_NoRiskRank_S1_Epo06.hdf5,0.43,0.327,0.018,0.16505085913001427,0.07130267690554706,2.1769671343638355,1.0141647665566178,0.0,0.0,1.0,1.0,0.259,0.018,0.068,0.0,0.5275080906148867,1,6
M02_RCFR_NoRiskRank_S1_Epo07.hdf5,0.4245,0.3305,0.03,0.16395750800126555,0.07025882661837753,2.572320377722263,1.4704914351088116,0.0,0.0,1.0,1.0,0.2675,0.028,0.063,0.002,0.5225806451612903,1,7
M02_RCFR_NoRiskRank_S1_Epo08.hdf5,0.422,0.31800000000000006,0.05,0.16274806317381532,0.07135634911019625,3.0557214549476055,1.450785971425111,0.0,0.0,1.0,1.0,0.268,0.048,0.05,0.0,0.5031847133757962,1,8
M02_RCFR_NoRiskRank_S1_Epo09.hdf5,0.428,0.32399999999999995,0.05,0.1680615160474364,0.07607416042482786,3.3927462628147307,2.0204695033543842,0.0,0.0,1.0,1.0,0.282,0.048,0.042,0.0,0.5079872204472844,1,9
M02_RCFR_NoRiskRank_S1_Epo10.hdf5,0.436,0.3225,0.046,0.16706651420295848,0.07985988893898625,4.1053489012089175,2.4171948663156724,0.0,0.0,1.0,1.0,0.2835,0.042,0.039,0.0,0.5275080906148867,1,10
M02_RCFR_NoRiskRank_S1_Epo11.hdf5,0.4365,0.33449999999999996,0.062,0.1694602080548907,0.07603038368152439,4.504046724834737,3.6470952574529014,0.0,0.0,1.0,1.0,0.293,0.06,0.0415,0.0,0.5374592833876222,1,11
M02_RCFR_NoRiskRank_S1_Epo12.hdf5,0.448,0.347,0.046,0.17988957403255754,0.07753790894046698,4.608331916312647,3.9358382104780896,0.0,0.0,1.0,1.0,0.3075,0.042,0.0395,0.002,0.5407407407407407,1,12
M02_RCFR_NoRiskRank_S1_Epo13.hdf5,0.463,0.352,0.078,0.17895049516435518,0.0832636569542407,8.649455349249692,4.343566594390245,0.2485,0.994,0.7799698608351328,0.37009335291196127,0.309,0.076,0.043000000000000003,0.002,0.5266055045871559,1,13
M02_RCFR_NoRiskRank_S1_Epo14.hdf5,0.46449999999999997,0.363,0.076,0.18263619337762477,0.09224554342525144,4.704152182605146,4.064988112489649,0.0,0.0,1.0,1.0,0.324,0.074,0.039,0.002,0.5072463768115942,1,14
M02_RCFR_NoRiskRank_S1_Epo15.hdf5,0.46399999999999997,0.36050000000000004,0.094,0.17804519214416709,0.09245705435121077,4.522954677360021,3.6559444182220724,0.0,0.0,1.0,1.0,0.316,0.092,0.0445,0.002,0.4725663716814159,1,15
M02_RCFR_NoRiskRank_S1_Epo16.hdf5,0.4405,0.315,0.028,0.17226027991963194,0.093293714226724,4.7768535913675985,3.7141472135117133,0.0,0.0,1.0,1.0,0.284,0.028,0.031,0.0,0.4369602763385147,1,16
M02_RCFR_NoRiskRank_S1_Epo17.hdf5,0.433,0.3165,0.008,0.17023803502335672,0.0857285402906065,4.8860551992341525,4.247998507289482,0.0,0.0,1.0,1.0,0.283,0.008,0.0335,0.0,0.40540540540540543,1,17
M02_RCFR_NoRiskRank_S1_Epo18.hdf5,0.43949999999999995,0.323,0.0,0.16532024606410695,0.09531680391829059,4.757983090680042,4.525639208608625,0.0,0.0,1.0,1.0,0.285,0.0,0.038,0.0,0.3843594009983361,1,18
M02_RCFR_NoRiskRank_S1_Epo19.hdf5,0.46749999999999997,0.35450000000000004,0.052,0.17205643742349935,0.1038256493721893,4.7897078383332525,4.339692300699138,0.0,0.0,1.0,1.0,0.31,0.052,0.0445,0.0,0.36617405582922824,1,19
M02_RCFR_NoRiskRank_S1_Epo20.hdf5,0.4405,0.321,0.0,0.16522689666026688,0.09744600587960425,5.11984254394375,4.240272816266743,0.0,0.0,1.0,1.0,0.2845,0.0,0.0365,0.0,0.35064935064935066,1,20
M02_RCFR_NoRiskRank_S1_Epo21.hdf5,0.489,0.368,0.052,0.20003976243342175,0.10235965219180834,4.152450427054749,3.590855980998643,0.0,0.0,1.0,1.0,0.33449999999999996,0.052,0.0335,0.0,0.49371633752244165,1,21
M02_RCFR_NoRiskRank_S1_Epo22.hdf5,0.46449999999999997,0.34900000000000003,0.006,0.19454218600379214,0.09464256112824095,4.292340522448123,3.5356984032764975,0.0,0.0,1.0,1.0,0.3025,0.006,0.0465,0.0,0.4469565217391304,1,22
M02_RCFR_NoRiskRank_S1_Epo23.hdf5,0.45849999999999996,0.3345,0.006,0.18826104792531276,0.08975822356603014,4.281773070999602,3.9280796754467127,0.0,0.0,1.0,1.0,0.293,0.006,0.0415,0.0,0.4077834179357022,1,23
M02_RCFR_NoRiskRank_S1_Epo24.hdf5,0.486,0.35250000000000004,0.038,0.19145944891559966,0.10377291120967866,4.587644306321267,3.8686159632686437,0.0,0.0,1.0,1.0,0.316,0.038,0.0365,0.0,0.4006734006734007,1,24
M02_RCFR_NoRiskRank_S1_Epo25.hdf5,0.4645,0.35200000000000004,0.02,0.18346567641803582,0.10412908330092674,4.6689301062366635,3.8930843895098253,0.0,0.0,1.0,1.0,0.3155,0.02,0.0365,0.0,0.37976782752902155,1,25
