,Tumor,Cluster,Gene,Cohen's d,AdjP
639,BRCA,CL1,VENTX,0.397,5.271048782392635e-07
848,BRCA,CL2,CDHR5,0.376,2.169597868814459e-06
2038,BRCA,CL3,TXNDC5,0.38,2.169597868814459e-06
2393,BRCA,CL4,KCNJ5,0.399,5.271048782392635e-07
2980,BRCA,CL5,EGLN2,0.398,5.271048782392635e-07
3678,COLO,CL1,EFHA2,1.12,1.6830104951988906e-25
4366,COLO,CL2,CNTN4,1.158,5.1366245518352155e-27
5192,COLO,CL3,ITGA4,1.145,2.1122208929833983e-26
6254,COLO,CL4,ZIK1,1.078,7.601017071745374e-25
6599,COLO,CL5,KCNT2,1.131,1.855062113037637e-26
7436,GLIOMA,CL1,MIR155HG,0.555,2.9517253641301737e-08
7766,GLIOMA,CL2,C11orf63,0.572,3.3380377726408353e-09
8505,GLIOMA,CL3,CCDC19,0.613,5.7537096872115554e-12
9463,GLIOMA,CL4,LOC390940,0.547,6.514580405903019e-08
10245,GLIOMA,CL5,NSUN7,0.557,3.3380377726408353e-09
10976,KIPAN,CL1,OSR1,0.464,3.411772924228835e-08
11248,KIPAN,CL2,B3GNTL1,0.44,3.1912163203852767e-07
11983,KIPAN,CL3,C2orf81,0.509,1.5067847255801967e-10
12784,KIPAN,CL4,FAM189A1,0.466,3.8550755948030016e-08
13609,KIPAN,CL5,KLHL29,0.489,3.356723237224091e-10
